Attackers,Defenders,AttackerWinPercentage,Outcomes
25,25,65.7151,6 0 5.8068 4 0 5.6603 5 0 5.5654 7 0 5.5086 8 0 5.4776 3 0 5.15 9 0 4.9896 10 0 4.6707 0 2 4.4391 11 0 4.0175 0 3 3.9014 0 4 3.8926 12 0 3.5353 2 0 3.3384 0 5 3.3364 0 6 3.2646 13 0 2.889 0 7 2.6458 0 8 2.4654 14 0 2.3174 0 1 2.2975 0 9 1.9026 15 0 1.758 0 10 1.7053 1 0 1.6526 16 0 1.2824 0 11 1.2611 0 12 1.0285 17 0 0.8864 0 13 0.7027 18 0 0.5589 0 14 0.5538 0 15 0.3509 19 0 0.3301 0 16 0.2377 20 0 0.1805 0 17 0.1333 21 0 0.0885 0 18 0.0868 0 19 0.0406 22 0 0.0347 0 20 0.0222 23 0 0.0108 0 21 0.0085 0 22 0.0048 24 0 0.0027 0 23 0.0009 25 0 0.0004 0 25 0 
25,24,70.1968,7 0 5.9784 5 0 5.8133 6 0 5.657 8 0 5.5201 9 0 5.5147 3 0 5.328 4 0 5.32 10 0 4.9973 11 0 4.6733 0 2 3.9302 12 0 3.9279 0 3 3.9021 13 0 3.4424 0 4 3.3353 0 5 3.2632 2 0 3.2487 14 0 2.7522 0 6 2.6575 0 7 2.4759 0 1 2.1614 15 0 2.1483 0 8 1.9324 0 9 1.71 16 0 1.5817 1 0 1.5361 0 10 1.2423 17 0 1.123 0 11 1.0245 18 0 0.7289 0 12 0.7159 0 13 0.5383 19 0 0.4493 0 14 0.3587 20 0 0.2489 0 15 0.2475 0 16 0.1428 21 0 0.1261 0 17 0.0883 22 0 0.0536 0 18 0.0414 0 19 0.0197 23 0 0.0196 0 20 0.0092 24 0 0.0051 0 21 0.0032 0 22 0.001 25 0 0.0004 0 23 0 0 24 0 
25,23,74.2181,8 0 6.0826 6 0 5.9536 7 0 5.8359 9 0 5.6626 10 0 5.5868 5 0 5.4614 4 0 5.3938 11 0 5.0119 3 0 4.7619 12 0 4.6098 0 2 3.9433 13 0 3.8787 0 3 3.3403 14 0 3.3065 0 4 3.2312 2 0 3.0001 0 5 2.6526 15 0 2.5772 0 6 2.4581 0 1 2.08 16 0 1.9823 0 7 1.9196 0 8 1.7043 1 0 1.4785 17 0 1.4432 0 9 1.248 0 10 1.042 18 0 0.9621 0 11 0.7139 19 0 0.5994 0 12 0.555 0 13 0.3479 20 0 0.3365 0 14 0.2522 21 0 0.1783 0 15 0.1346 0 16 0.0794 22 0 0.0738 0 17 0.0429 23 0 0.0291 0 18 0.0215 24 0 0.0083 0 19 0.0082 0 20 0.0033 25 0 0.0013 0 21 0.0012 0 22 0.0001 0 23 0 
25,22,78.342,9 0 6.153 7 0 6.1314 8 0 5.9526 10 0 5.7926 6 0 5.6632 11 0 5.6379 5 0 5.5808 12 0 5.0309 4 0 4.8791 3 0 4.719 13 0 4.5373 14 0 3.7829 0 2 3.3545 0 3 3.247 15 0 3.1445 2 0 2.8259 0 4 2.6439 0 5 2.4632 16 0 2.4271 0 6 1.9125 0 1 1.8923 17 0 1.792 0 7 1.6943 1 0 1.3466 0 8 1.256 18 0 1.2467 0 9 1.0271 19 0 0.8011 0 10 0.7166 0 11 0.5605 20 0 0.4711 0 12 0.3452 21 0 0.2496 0 13 0.2443 0 14 0.1384 22 0 0.1184 0 15 0.0832 0 16 0.0417 23 0 0.0413 0 17 0.0215 24 0 0.0124 0 18 0.0093 0 19 0.0033 25 0 0.0021 0 20 0.001 0 21 0.0001 
25,21,81.8282,10 0 6.3508 8 0 6.3139 9 0 6.0709 11 0 5.882 6 0 5.7655 7 0 5.7618 12 0 5.6996 5 0 5.095 13 0 4.9934 4 0 4.8627 14 0 4.4495 3 0 4.0399 15 0 3.6636 0 2 3.2143 16 0 2.9787 0 3 2.6487 2 0 2.4878 0 4 2.482 17 0 2.2607 0 5 1.9252 0 1 1.7454 0 6 1.7196 18 0 1.6111 0 7 1.2491 1 0 1.2389 19 0 1.0534 0 8 1.035 0 9 0.7086 20 0 0.636 0 10 0.5461 21 0 0.3563 0 11 0.3428 0 12 0.2534 22 0 0.1632 0 13 0.1402 0 14 0.0864 23 0 0.0673 0 15 0.0402 24 0 0.0212 0 16 0.021 0 17 0.0077 0 18 0.0031 25 0 0.0025 0 19 0.001 0 20 0 
25,20,85.3569,9 0 6.5676 11 0 6.4589 10 0 6.3389 8 0 5.9904 12 0 5.9617 7 0 5.8968 13 0 5.673 6 0 5.1649 5 0 5.0145 14 0 4.9393 15 0 4.3797 4 0 4.2186 3 0 3.9385 16 0 3.5283 17 0 2.789 0 2 2.6355 0 3 2.4322 2 0 2.3091 18 0 2.0204 0 4 1.9085 0 5 1.6861 0 1 1.5248 19 0 1.3733 0 6 1.2505 1 0 1.0815 0 7 1.05 20 0 0.8713 0 8 0.7006 0 9 0.5524 21 0 0.4693 0 10 0.357 0 11 0.2395 22 0 0.2393 0 12 0.1438 23 0 0.0915 0 13 0.0862 0 14 0.0381 24 0 0.0334 0 15 0.0233 0 16 0.0093 25 0 0.0052 0 17 0.0023 0 18 0.0009 0 19 0.0002 
25,19,88.1534,10 0 6.7068 12 0 6.6127 11 0 6.4482 9 0 6.1925 8 0 6.1322 13 0 6.032 14 0 5.7212 7 0 5.3915 6 0 5.1658 15 0 4.9316 5 0 4.3614 16 0 4.2145 4 0 4.0285 17 0 3.3672 3 0 3.2643 18 0 2.5505 0 2 2.4653 2 0 1.9571 0 3 1.9059 19 0 1.7881 0 4 1.715 0 1 1.3258 0 5 1.2458 20 0 1.1547 0 6 1.0311 1 0 0.9401 0 7 0.7186 21 0 0.6687 0 8 0.5398 0 9 0.3453 22 0 0.3304 0 10 0.2441 23 0 0.1422 0 11 0.1422 0 12 0.0852 0 13 0.0446 24 0 0.0402 0 14 0.0237 25 0 0.0085 0 15 0.0083 0 16 0.0031 0 17 0.0008 0 18 0.0002 
25,18,90.8582,11 0 6.8747 13 0 6.7863 12 0 6.6917 10 0 6.4226 9 0 6.3054 14 0 6.1542 15 0 5.715 8 0 5.5498 7 0 5.3122 16 0 4.8504 6 0 4.475 5 0 4.1328 17 0 4.0477 4 0 3.3135 18 0 3.1329 3 0 3.0039 19 0 2.2961 0 2 1.9366 2 0 1.7366 0 3 1.6775 20 0 1.5581 0 4 1.2347 0 1 1.1025 0 5 1.028 21 0 0.9173 1 0 0.7933 0 6 0.7117 0 7 0.5583 22 0 0.4922 0 8 0.3494 0 9 0.2389 23 0 0.2072 0 10 0.136 0 11 0.086 24 0 0.0736 0 12 0.0417 0 13 0.0245 25 0 0.0132 0 14 0.009 0 15 0.0039 0 16 0.0014 0 17 0 
25,17,92.9086,12 0 7.1495 14 0 6.895 13 0 6.8413 10 0 6.5792 11 0 6.5757 15 0 6.2323 9 0 5.7481 16 0 5.6939 8 0 5.5229 17 0 4.7877 7 0 4.5943 6 0 4.2187 18 0 3.8781 5 0 3.3782 4 0 3.0626 19 0 2.9135 3 0 2.3566 20 0 2.0304 0 2 1.7036 2 0 1.408 21 0 1.2597 0 3 1.2584 0 4 1.0164 0 1 0.9325 0 5 0.7295 22 0 0.6703 1 0 0.6588 0 6 0.5494 0 7 0.3489 23 0 0.3192 0 8 0.244 0 9 0.1422 24 0 0.108 0 10 0.0824 0 11 0.0469 25 0 0.0241 0 12 0.0219 0 13 0.0091 0 14 0.0034 0 15 0.0006 0 16 0.0005 0 17 0 
25,16,94.822,13 0 7.4331 14 0 7.0637 15 0 7.0077 12 0 6.8899 11 0 6.7992 16 0 6.2856 10 0 5.9864 9 0 5.6699 17 0 5.6636 8 0 4.6981 18 0 4.6423 7 0 4.3639 19 0 3.6637 6 0 3.4545 5 0 3.1011 20 0 2.5917 4 0 2.3992 3 0 2.0804 21 0 1.6904 0 2 1.2578 2 0 1.1509 0 3 1.013 22 0 0.9951 0 1 0.7437 0 4 0.707 0 5 0.5478 1 0 0.5305 23 0 0.448 0 6 0.3606 0 7 0.2524 24 0 0.1791 0 8 0.1337 0 9 0.0819 0 10 0.0411 25 0 0.0315 0 11 0.023 0 12 0.0107 0 13 0.0026 0 14 0.001 0 15 0.0001 0 16 0 
25,15,96.2259,14 0 7.6971 15 0 7.2995 13 0 7.2093 16 0 7.2079 12 0 7.0769 17 0 6.323 11 0 6.201 10 0 5.941 18 0 5.5452 9 0 4.8912 8 0 4.4887 19 0 4.4557 7 0 3.5082 20 0 3.3275 6 0 3.1361 5 0 2.3873 21 0 2.2644 4 0 2.058 3 0 1.5261 22 0 1.3404 0 2 1.0339 2 0 0.8913 23 0 0.6995 0 3 0.6959 0 1 0.608 0 4 0.5564 1 0 0.4218 0 5 0.3415 24 0 0.2562 0 6 0.2461 0 7 0.1333 0 8 0.0859 25 0 0.0701 0 9 0.0401 0 10 0.0204 0 11 0.0078 0 12 0.0026 0 13 0.0006 0 14 0.0002 
25,14,97.3934,15 0 8.0163 16 0 7.5786 14 0 7.4705 13 0 7.4326 17 0 7.3597 12 0 6.4716 18 0 6.4207 11 0 6.1043 19 0 5.4149 10 0 5.0338 9 0 4.5843 20 0 4.1816 8 0 3.6229 7 0 3.1818 21 0 2.9479 6 0 2.4001 5 0 2.0899 22 0 1.8595 4 0 1.5189 3 0 1.2618 23 0 0.9569 0 2 0.7177 2 0 0.6838 0 3 0.5561 0 1 0.4435 24 0 0.4058 0 4 0.3432 1 0 0.2982 0 5 0.2413 0 6 0.1384 25 0 0.0945 0 7 0.0877 0 8 0.0432 0 9 0.0209 0 10 0.008 0 11 0.0038 0 12 0.0013 0 13 0.0002 
25,13,98.2337,16 0 8.3168 17 0 7.8264 15 0 7.8249 14 0 7.7889 18 0 7.4812 13 0 6.7779 12 0 6.4192 19 0 6.3812 20 0 5.2214 11 0 5.2146 10 0 4.7336 21 0 3.8133 9 0 3.6887 8 0 3.2392 22 0 2.5383 7 0 2.4444 6 0 2.041 5 0 1.4979 23 0 1.4282 4 0 1.2255 3 0 0.8598 24 0 0.5883 0 2 0.5474 2 0 0.4808 0 3 0.3438 0 1 0.3219 0 4 0.2482 1 0 0.2215 25 0 0.1782 0 5 0.1385 0 6 0.086 0 7 0.0436 0 8 0.0228 0 9 0.0084 0 10 0.0038 0 11 0.0003 0 12 0.0002 0 13 0.0001 
25,12,98.901,17 0 8.7334 16 0 8.2429 15 0 8.225 18 0 8.1395 19 0 7.5466 14 0 7.0944 13 0 6.6388 20 0 6.3289 12 0 5.424 21 0 4.9329 11 0 4.8857 10 0 3.7774 22 0 3.4206 9 0 3.283 8 0 2.39 7 0 2.0463 23 0 1.9781 6 0 1.426 5 0 1.1975 24 0 0.9358 4 0 0.8361 3 0 0.6545 2 0 0.3424 0 2 0.3373 25 0 0.2604 0 3 0.2423 0 1 0.2107 1 0 0.1583 0 4 0.142 0 5 0.0853 0 6 0.0433 0 7 0.0222 0 8 0.0091 0 9 0.0035 0 10 0.002 0 11 0.0002 
25,11,99.3,18 0 9.1077 17 0 8.7596 16 0 8.6852 19 0 8.4152 20 0 7.6618 15 0 7.4554 14 0 7.0488 21 0 6.1786 13 0 5.6084 12 0 5.0528 22 0 4.5229 11 0 3.8319 10 0 3.2649 23 0 2.8687 9 0 2.3681 8 0 1.9769 7 0 1.4023 24 0 1.3406 6 0 1.1442 5 0 0.7813 4 0 0.6119 25 0 0.4632 3 0 0.4177 0 2 0.2503 2 0 0.2246 0 1 0.1436 0 3 0.1361 1 0 0.1048 0 4 0.0884 0 5 0.0423 0 6 0.0236 0 7 0.0092 0 8 0.0046 0 9 0.0008 0 10 0.0001 
25,10,99.6085,19 0 9.5811 18 0 9.2537 17 0 9.1753 20 0 8.7521 16 0 7.9185 21 0 7.7155 15 0 7.3823 14 0 5.8672 22 0 5.845 13 0 5.214 23 0 3.9687 12 0 3.8743 11 0 3.3201 10 0 2.3493 24 0 2.0954 9 0 1.9515 8 0 1.3475 7 0 1.1029 6 0 0.725 25 0 0.7173 5 0 0.5743 4 0 0.3723 3 0 0.2942 2 0 0.1463 0 2 0.1379 0 3 0.0876 0 1 0.0872 1 0 0.0622 0 4 0.0408 0 5 0.0235 0 6 0.0096 0 7 0.003 0 8 0.0007 0 9 0.0003 
25,9,99.7869,20 0 10.1136 19 0 9.8728 18 0 9.8098 21 0 9.0223 17 0 8.4325 16 0 7.8411 22 0 7.5672 15 0 6.1327 23 0 5.4488 14 0 5.3959 13 0 3.9668 12 0 3.3232 24 0 2.9582 11 0 2.3382 10 0 1.9081 9 0 1.3039 25 0 1.2804 8 0 0.9998 7 0 0.6722 6 0 0.5178 5 0 0.3401 4 0 0.2606 3 0 0.1516 2 0 0.0883 0 2 0.0854 0 1 0.0509 0 3 0.044 1 0 0.0385 0 4 0.0203 0 5 0.007 0 6 0.0033 0 7 0.0012 0 8 0.0002 
25,8,99.8981,21 0 10.7601 19 0 10.6203 20 0 10.5462 22 0 9.3296 18 0 9.0817 17 0 8.2652 23 0 7.2772 16 0 6.449 15 0 5.5702 24 0 4.5658 14 0 4.012 13 0 3.3475 12 0 2.3008 25 0 1.9015 11 0 1.8533 10 0 1.208 9 0 0.9375 8 0 0.6157 7 0 0.4603 6 0 0.279 5 0 0.2181 4 0 0.1271 3 0 0.0933 2 0 0.0551 0 2 0.0398 0 1 0.0265 1 0 0.0211 0 3 0.0201 0 4 0.0105 0 5 0.0033 0 6 0.0009 0 8 0 0 7 0 
25,7,99.9493,21 0 11.6503 20 0 11.5924 22 0 11.3962 19 0 9.8397 23 0 9.5338 18 0 8.8717 17 0 6.7676 24 0 6.3302 16 0 5.7325 15 0 4.028 25 0 3.4329 14 0 3.2972 13 0 2.1891 12 0 1.7422 11 0 1.1091 10 0 0.8531 9 0 0.527 8 0 0.3904 7 0 0.2371 6 0 0.1765 5 0 0.1005 4 0 0.0761 3 0 0.042 0 2 0.0238 2 0 0.0214 0 1 0.0111 1 0 0.0098 0 3 0.0094 0 4 0.0045 0 5 0.0009 0 6 0.0004 
25,6,99.9798,21 0 12.9078 22 0 12.8908 23 0 12.312 20 0 10.8493 19 0 9.6436 24 0 9.1789 18 0 7.1427 17 0 5.9221 25 0 5.1272 16 0 4.0517 15 0 3.2256 14 0 2.0919 13 0 1.607 12 0 0.98 11 0 0.7338 10 0 0.4409 9 0 0.3298 8 0 0.1916 7 0 0.145 6 0 0.0824 5 0 0.0573 4 0 0.0336 3 0 0.0196 2 0 0.0097 0 2 0.0096 0 1 0.0055 0 3 0.0036 1 0 0.003 0 4 0.0008 0 5 0.0002 
